Season,W,L,ERA,G,GS,CG,H,R,ER,HR,BB,IP,HBP,WP,BK,SO
1900,550,546,3.67,1320,1131,932,10711,5780,3968,247,2942,9743,516,212,16,2643
1901,1092,1094,3.48,2522,2217,1912,20819,10982,7519,454,5420,19457.1,874,469,18,6954
1902,1089,1088,3.16,2485,2225,1949,20144,9761,6857,349,5367,19559.2,761,406,17,6595
1903,1096,1097,3.1,2538,2226,1907,19640,9825,6729,332,5390,19532.2,750,436,12,7923
1904,1216,1213,2.64,2779,2492,2183,20174,9165,6413,322,5676,21830,800,504,41,9250
1905,1217,1214,2.81,2981,2470,1972,20040,9532,6818,330,6219,21840.2,820,522,22,9508
1906,1199,1199,2.64,2980,2443,1904,19386,8695,6271,256,6128,21386,760,446,27,8951
1907,1198,1192,2.48,3130,2455,1823,19325,8521,5942,244,6194,21532,773,462,22,8585
1908,1223,1216,2.33,3359,2481,1672,18884,8203,5693,256,5969,21968.2,743,465,25,8980
1909,1192,1200,2.51,3325,2451,1608,18877,8401,5983,249,6404,21470.1,741,541,38,9065
1910,1205,1201,2.72,3475,2478,1544,19554,9094,6551,346,7165,21690.1,771,512,29,9519
1911,1191,1180,3.32,3577,2433,1423,20930,10533,7816,490,7502,21209,790,510,48,9533
1912,1195,1182,3.27,3529,2427,1420,20837,10339,7606,416,7125,20934,675,505,44,9368
1913,1189,1175,2.98,3615,2426,1311,19774,9177,6912,426,6777,20868.2,636,489,47,9005
1914,1790,1788,2.86,5510,3693,2041,29514,13611,10161,659,10454,31921.2,948,739,48,14312
1915,1781,1751,2.84,5293,3642,2022,28259,12949,9827,580,10266,31169.2,924,657,64,13250
1916,1197,1184,2.67,3859,2450,1299,19372,8332,6382,358,6675,21543.1,596,471,49,9154
1917,1185,1168,2.62,3610,2430,1363,18972,8212,6160,307,6360,21126,529,366,34,8151
1918,985,982,2.72,2782,2004,1272,16332,6982,5350,226,5378,17671.1,439,285,23,5639
1919,1075,1053,2.98,3059,2172,1287,18055,7860,6195,414,5415,18727.1,470,334,37,6487
1920,1178,1155,3.36,3355,2401,1373,21169,9635,7641,568,6125,20449.1,471,354,40,6731
1921,1141,1135,3.97,3551,2373,1245,22470,10703,8851,855,6075,20051.2,501,312,45,6376
1922,1156,1140,3.99,3559,2384,1210,21947,10580,8779,955,6212,19819,538,331,43,6161
1923,1141,1119,3.88,3536,2363,1191,21409,10300,8514,860,6541,19723.2,509,307,37,6311
1924,1130,1105,3.94,3528,2340,1172,21192,10050,8487,778,6293,19381,462,277,39,5890
1925,1134,1100,4.17,3422,2336,1179,21587,10593,8899,1006,6566,19196,413,281,26,5909
1926,1144,1134,3.85,3718,2395,1141,21138,10125,8474,774,6746,19819,422,271,32,6260
1927,1105,1087,3.96,3435,2359,1166,20929,10125,8477,783,6331,19286,417,272,39,6005
1928,1132,1114,3.9,3488,2345,1135,20626,9923,8380,958,6545,19354.2,391,242,22,6269
1929,1125,1113,4.34,3552,2345,1144,21658,10972,9364,1162,6916,19426.1,351,309,32,6345
1930,1118,1086,4.64,3492,2327,1063,21785,11356,9702,1340,6258,18826,315,285,31,6823
1931,1157,1142,3.99,3620,2394,1168,21471,10428,8808,958,6656,19880.2,316,295,38,7087
1932,1127,1102,4.09,3661,2375,1099,21397,10638,9012,1217,6532,19811.2,311,306,38,7095
1933,1069,1075,3.7,3312,2317,1078,19300,9099,7680,900,6187,18663.2,288,312,26,6462
1934,1098,1062,4.12,3522,2282,1031,20000,9827,8475,1098,6547,18518.2,270,323,28,7387
1935,1105,1096,4.13,3699,2335,1059,20980,10330,8848,1138,6731,19282,315,350,32,7103
1936,1112,1072,4.37,3592,2342,1045,21169,10700,9228,1190,6931,18992.1,344,435,30,7164
1937,1107,1097,4.14,3608,2373,1089,20480,10247,8813,1224,7242,19163.1,259,328,35,7950
1938,1078,1049,4.2,3470,2334,1063,19965,10137,8742,1278,7274,18730,294,355,40,7215
1939,1088,1076,4.17,3536,2361,1004,20020,9984,8737,1233,7105,18846.2,288,368,41,7411
1940,1047,1049,4.02,3406,2334,1057,19245,9511,8316,1312,6803,18632,278,368,45,7683
1941,1071,1068,3.81,3364,2339,1054,18814,9233,7940,1109,7243,18732,248,386,25,7553
1942,1060,1068,3.43,3297,2344,1104,18062,8442,7151,913,6954,18776,269,315,32,7133
1943,1078,1090,3.26,3387,2382,1070,18344,8138,6979,776,6966,19284.2,256,282,47,7376
1944,1094,1086,3.42,3341,2375,1100,18989,8622,7298,869,6520,19185.2,273,309,33,7067
1945,1081,1075,3.46,3308,2341,1115,18593,8467,7217,825,6845,18751.2,305,290,40,6909
1946,1079,1088,3.34,3644,2363,1036,18154,8176,6989,996,7215,18858.1,257,281,31,8293
1947,1047,1041,3.76,3515,2350,938,18006,8682,7620,1255,7389,18251,238,307,40,7660
1948,1028,1028,3.98,3447,2335,870,17711,8790,7789,1239,7368,17628.1,250,311,34,7297
